,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
45,-0.3818,0.833,0.167,0.0,"Friday's Sun: ""We’ll fight each other on the beaches"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/qFcyw2jYhB",BBC News (UK),46
46,-0.5423,0.741,0.259,0.0,"Friday's Mirror: ""Poison spy daughter talks"" #tomorrowspaperstoday #bbcpapers (via @hendopolis)  https://t.co/gjbdG6dTDB",BBC News (UK),47
47,-0.6369,0.704,0.296,0.0,"Friday's Mail: ""An abuse of capitalism"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/dfp3IjhZHS",BBC News (UK),48
48,-0.4215,0.823,0.177,0.0,"Friday's Times: ""Ministers waste tens of millions on pledges"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/66cDp53S93",BBC News (UK),49
49,-0.7269,0.498,0.378,0.124,"Friday's Telegraph: ""63 violent criminals paroled like Worboys"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/U48okCcJtR",BBC News (UK),50
50,0.4767,0.694,0.092,0.214,"Friday's Express: ""Teacher wins £250k for falling off desk"" #tomorrowspaperstoday #bbcpapers (via @hendopolis) https://t.co/xABYDXMEq3",BBC News (UK),51
51,0.0,1.0,0.0,0.0,RT @BBCPolitics: The Prime Minister has told the BBC that Brexit will mean there is extra money available to spend on the NHS and schools.…,BBC News (UK),52
52,0.0,1.0,0.0,0.0,"RT @BBCSport: The ball-tampering bans given to Steve Smith, David Warner and Cameron Bancroft contain ""glaring anomalies"", according to the…",BBC News (UK),53
53,0.0,1.0,0.0,0.0,"RT @BBCSport: How does this compare to your ""light day"" menu? 🧐🙈

See what it takes to feed, maintain and train Anthony Joshua.

More 👉 htt…",BBC News (UK),54
54,-0.1406,0.937,0.063,0.0,"RT @BBCEngland: Clifton College said the victim felt it was not an anti-Semitic act but a campaign group said the act would have been ""trau…",BBC News (UK),55
55,0.2732,0.488,0.211,0.301,Disabled woman wins BA flight refund battle https://t.co/xXeholSJM9,BBC News (UK),56
56,0.0,1.0,0.0,0.0,Funds double for orphans-to-be from Solihull https://t.co/LI6wWeL7ez,BBC News (UK),57
57,-0.8625,0.407,0.517,0.076,Telford abuse: 'I want to kill my son's groomers' https://t.co/T0w59ek67H,BBC News (UK),58
58,-0.7506,0.748,0.252,0.0,RT @BBCBreaking: Russia expels 60 US diplomats and closes St Petersburg consulate in response to American action over spy poisoning https:/…,BBC News (UK),59
59,0.296,0.855,0.0,0.145,Peter Kay's Car Share: Final episodes to be shown on TV in May https://t.co/9f0oneiTyP,BBC News (UK),60
60,0.3818,0.614,0.123,0.263,Ministers U-turn on housing benefit axe for 18-21-year-olds https://t.co/uXkagZfmjE,BBC News (UK),61
61,-0.5994,0.505,0.495,0.0,GKN loses independence battle to Melrose https://t.co/S0OxJYALkd,BBC News (UK),62
62,0.0,1.0,0.0,0.0,"Be more 🤓 and less 🤔

Let our #Brexitbot answer your questions ➡️ https://t.co/YRA3LBhCWi https://t.co/pEFfXjWvgQ",BBC News (UK),63
63,-0.8442,0.221,0.641,0.138,Sophie Lionnet death: Accused 'screamed like a mad woman' https://t.co/CRxC8zhUpe,BBC News (UK),64
64,0.0,1.0,0.0,0.0,"Woman, 29, dies after being 'hit by bricks' in Mile End https://t.co/KUbZdVIMX6",BBC News (UK),65
65,0.4215,0.641,0.0,0.359,Ex-Russian spy's daughter 'improving rapidly' https://t.co/XzSQpkq6YG,BBC News (UK),66
66,0.0,1.0,0.0,0.0,Cambridge Analytica files spell out election tactics https://t.co/q58mAzrs4g,BBC News (UK),67
67,-0.5106,0.641,0.238,0.121,RT @BBC_HaveYourSay: People have been using the hashtag #IBelieveHer to say the criminal justice system is failing women who report sexual…,BBC News (UK),68
